"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2017","0.9943","0.9987","1.0000","0.9890","868.08K","-0.44%"
"11/18/2017","0.9987","1.0000","1.0100","0.9901","743.66K","-0.13%"
"11/17/2017","1.0000","0.9850","1.0000","0.9830","675.88K","1.52%"
"11/16/2017","0.9850","1.0000","1.0000","0.9850","1.25M","-1.50%"
"11/15/2017","1.0000","1.0100","1.0200","1.0000","819.44K","-0.99%"
"11/14/2017","1.0100","1.0100","1.0200","1.0100","279.28K","0.00%"
"11/13/2017","1.0100","1.0000","1.0200","1.0000","556.04K","1.00%"
"11/12/2017","1.0000","1.0100","1.0200","1.0000","959.65K","-0.99%"
"11/11/2017","1.0100","1.0000","1.0100","1.0000","905.09K","1.00%"
"11/10/2017","1.0000","1.0100","1.0200","0.9990","1.41M","-0.99%"
"11/09/2017","1.0100","1.0100","1.0100","1.0000","845.99K","0.00%"
"11/08/2017","1.0100","1.0000","1.0100","1.0000","747.89K","1.00%"
"11/07/2017","1.0000","1.0000","1.0100","1.0000","376.92K","0.00%"
"11/06/2017","1.0000","1.0000","1.0200","1.0000","826.58K","0.00%"
"11/05/2017","1.0000","1.0000","1.0100","1.0000","656.30K","0.00%"
"11/04/2017","1.0000","1.0000","1.0100","1.0000","906.48K","0.00%"
"11/03/2017","1.0000","1.0000","1.0100","1.0000","554.42K","0.00%"
"11/02/2017","1.0000","1.0000","1.0100","1.0000","367.21K","0.00%"
"11/01/2017","1.0000","0.9999","1.0100","0.9960","1.34M","0.01%"
"10/31/2017","0.9999","1.0000","1.0100","0.9970","1.28M","-0.01%"
"10/30/2017","1.0000","1.0000","1.0000","0.9972","1.22M","0.00%"
"10/29/2017","1.0000","1.0000","1.0100","1.0000","1.07M","0.00%"
"10/28/2017","1.0000","1.0100","1.0100","1.0000","1.00M","-0.99%"
"10/27/2017","1.0100","1.0000","1.0100","1.0000","1.08M","1.00%"
"10/26/2017","1.0000","1.0000","1.0100","1.0000","1.02M","0.00%"
"10/25/2017","1.0000","1.0000","1.0100","1.0000","1.15M","0.00%"
"10/24/2017","1.0000","1.0000","1.0100","1.0000","1.22M","0.00%"
"10/23/2017","1.0000","1.0000","1.0100","1.0000","982.14K","0.00%"
"10/22/2017","1.0000","0.9990","1.0100","0.9981","666.03K","0.10%"
"10/21/2017","0.9990","0.9994","1.0000","0.9700","1.16M","-0.04%"
"10/20/2017","0.9994","0.9999","1.0000","0.9971","511.25K","-0.05%"
"10/19/2017","0.9999","1.0000","1.0100","0.9989","568.02K","-0.01%"
"10/18/2017","1.0000","1.0000","1.0100","0.9997","442.52K","0.00%"
"10/17/2017","1.0000","0.9924","1.0000","0.9874","1.81M","0.77%"
"10/16/2017","0.9924","0.9992","1.0000","0.9800","1.00M","-0.68%"
"10/15/2017","0.9992","0.9958","1.0000","0.9952","722.57K","0.34%"
"10/14/2017","0.9958","0.9945","0.9980","0.9921","910.26K","0.13%"
"10/13/2017","0.9945","0.9937","0.9972","0.9915","1.21M","0.08%"
"10/12/2017","0.9937","0.9962","0.9972","0.9904","1.16M","-0.25%"
"10/11/2017","0.9962","0.9942","0.9972","0.9930","1.19M","0.20%"
"10/10/2017","0.9942","0.9970","0.9972","0.9941","1.09M","-0.28%"
"10/09/2017","0.9970","0.9954","0.9972","0.9949","984.54K","0.16%"
"10/08/2017","0.9954","0.9943","0.9972","0.9933","975.74K","0.11%"
"10/07/2017","0.9943","0.9969","0.9984","0.9933","864.73K","-0.26%"
"10/06/2017","0.9969","0.9984","0.9999","0.9940","1.07M","-0.15%"
"10/05/2017","0.9984","0.9961","1.0000","0.9960","883.34K","0.23%"
"10/04/2017","0.9961","0.9998","1.0000","0.9930","1.17M","-0.37%"
"10/03/2017","0.9998","0.9936","0.9999","0.9926","848.30K","0.62%"
"10/02/2017","0.9936","0.9928","0.9979","0.9906","707.42K","0.08%"
"10/01/2017","0.9928","0.9998","0.9998","0.9909","558.11K","-0.70%"
"09/30/2017","0.9998","0.9984","0.9999","0.9905","778.54K","0.14%"
"09/29/2017","0.9984","0.9979","1.0000","0.9939","947.81K","0.05%"
"09/28/2017","0.9979","0.9986","1.0000","0.9952","753.34K","-0.07%"
"09/27/2017","0.9986","0.9998","1.0000","0.9920","888.14K","-0.12%"
"09/26/2017","0.9998","1.0000","1.0100","0.9995","941.22K","-0.02%"
"09/25/2017","1.0000","0.9998","1.0000","0.9950","986.00K","0.02%"
"09/24/2017","0.9998","1.0000","1.0000","0.9960","299.82K","-0.02%"
"09/23/2017","1.0000","1.0000","1.0000","0.9882","793.12K","0.00%"
"09/22/2017","1.0000","1.0000","1.0100","1.0000","297.07K","0.00%"
"09/21/2017","1.0000","1.0000","1.0100","1.0000","608.22K","0.00%"
"09/20/2017","1.0000","1.0000","1.0100","1.0000","667.52K","0.00%"
"09/19/2017","1.0000","1.0000","1.0100","1.0000","471.48K","0.00%"
"09/18/2017","1.0000","1.0100","1.0200","1.0000","649.94K","-0.99%"
"09/17/2017","1.0100","1.0100","1.0200","1.0000","405.02K","0.00%"
"09/16/2017","1.0100","1.0100","1.0300","1.0000","785.28K","0.00%"
"09/15/2017","1.0100","1.0100","1.0100","0.9953","1.08M","0.00%"
"09/14/2017","1.0100","1.0000","1.0100","1.0000","1.31M","1.00%"
"09/13/2017","1.0000","1.0000","1.0100","1.0000","756.34K","0.00%"
"09/12/2017","1.0000","1.0100","1.0100","1.0000","549.13K","-0.99%"
"09/11/2017","1.0100","1.0100","1.0200","1.0000","604.55K","0.00%"
"09/10/2017","1.0100","1.0100","1.0300","1.0100","746.24K","0.00%"
"09/09/2017","1.0100","1.0200","1.0200","1.0100","490.86K","-0.98%"
